"","fips","SCC","Pollutant","Emissions","type","year"
"584858","21091","10100202","PM25-PRI",2068.406,"POINT",1999
"16645941","06073","2294000000","PM25-PRI",2070.68,"NONPOINT",2008
"118930","01003","2810001000","PM25-PRI",2071.139,"NONPOINT",1999
"10488898","54051","10100203","PM25-PRI",2074.02,"POINT",2005
"17118951","48367","2296000000","PM25-PRI",2074.2,"NONPOINT",2008
"1557661","06073","2302002000","PM25-PRI",2074.431,"NONPOINT",1999
"4771902","16059","2810001000","PM25-PRI",2077.8,"NONPOINT",2002
"241228","12031","2810001000","PM25-PRI",2077.82,"NONPOINT",1999
"10291157","39053","10100202","PM25-PRI",2078.28,"POINT",2005
"4506871","24003","10100202","PM25-PRI",2078.75,"POINT",2002
"4278867","32003","2610000500","PM25-PRI",2080.53,"NONPOINT",1999
"1535871","06025","2296000000","PM25-PRI",2082.881,"NONPOINT",1999
"4268730","56037","30599999","PM25-PRI",2084.738,"POINT",1999
"3565507","48187","2296000000","PM25-PRI",2087.55,"NONPOINT",1999
"4583310","39085","10100202","PM25-PRI",2092.32,"POINT",2002
"3633800","48291","2296000000","PM25-PRI",2093.95,"NONPOINT",1999
"4273061","56041","2296000000","PM25-PRI",2094.95,"NONPOINT",1999
